Period,OrgCode,OrgName,Type1_Attendance,Type2_Attendance,Other_Attendance,Total_Attendance,Over4hrs_Type1,Wait_4_12hrs,Wait_12plus_hrs,Emergency_Admissions_Type1,Emergency_Admissions_Other,Emergency_Admissions_Total
MSitAE-JUNE-2024,RVJ,NORTH BRISTOL NHS TRUST,9090,0,0,9090,3342,637,252,2789,0,2789
MSitAE-JUNE-2024,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1181,1181,0,0,0,0,0,0
MSitAE-JUNE-2024,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,13085,0,15312,28397,6928,811,498,6526,0,6526
MSitAE-JULY-2024,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7578,7578,0,0,0,0,0,0
MSitAE-JULY-2024,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,10438,10438,0,0,0,0,0,0
MSitAE-JULY-2024,C82009,MARKET HARBOROUGH MED.CTR,0,0,286,286,0,0,0,0,0,0
MSitAE-JULY-2024,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,24235,3165,12026,39426,10209,3786,483,5654,160,5814
MSitAE-JULY-2024,NNF09,BRANSHOLME HEALTH CENTRE,0,0,3662,3662,0,0,0,0,0,0
MSitAE-JULY-2024,NNF94,EAST RIDING COMMUNITY HOSPITAL,0,0,2809,2809,0,0,0,0,0,0
MSitAE-JULY-2024,NNFA7,GOOLE & DISTRICT HOSPITAL,0,0,1618,1618,0,0,0,0,0,0
MSitAE-JULY-2024,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2379,2379,0,0,0,0,0,0
MSitAE-JULY-2024,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10561,0,0,10561,2695,578,378,3189,0,3189
MSitAE-JULY-2024,NLX,SIRONA CARE & HEALTH,0,0,8873,8873,0,0,0,0,0,0
MSitAE-JULY-2024,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,12182,2527,0,14709,3875,410,3,2437,0,2437
MSitAE-JULY-2024,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,23320,1081,11275,35676,9551,2267,131,6076,0,6076
MSitAE-JULY-2024,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7259,0,2939,10198,3727,615,552,2197,0,2197
MSitAE-JULY-2024,AJN,WORKINGTON HEALTH LIMITED,0,0,366,366,0,0,0,0,0,0
MSitAE-JULY-2024,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3217,3217,0,0,0,0,0,0
MSitAE-JULY-2024,RW4,MERSEY CARE NHS FOUNDATION TRUST,0,0,13110,13110,0,0,0,0,0,0
MSitAE-JULY-2024,RJN,EAST CHESHIRE NHS TRUST,4422,0,0,4422,2172,230,253,929,0,929
MSitAE-JULY-2024,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6586,0,1503,8089,1428,155,0,2470,0,2470
MSitAE-JULY-2024,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15165,2339,0,17504,5206,1140,146,5280,0,5280
MSitAE-JULY-2024,RLQ,WYE VALLEY NHS TRUST,6152,1252,0,7404,2363,466,331,1952,0,1952
MSitAE-JULY-2024,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6774,0,3574,10348,3060,320,45,2181,0,2181
MSitAE-JULY-2024,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,13273,0,7598,20871,4093,1163,253,6010,0,6010
MSitAE-JULY-2024,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,30718,0,5851,36569,9770,3026,36,8977,244,9221
MSitAE-JULY-2024,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,180,180,0,0,0,0,0,0
MSitAE-JULY-2024,NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5477,5477,0,0,0,0,0,0
MSitAE-JULY-2024,AXG,WILTSHIRE HEALTH & CARE,0,0,2746,2746,0,0,0,0,0,0
MSitAE-JULY-2024,Y02676,BRIGHTON STATION HEALTH CENTRE,0,0,2092,2092,0,0,0,0,0,0
MSitAE-JULY-2024,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,22708,1526,5399,29633,9555,1666,1284,7985,29,8014
MSitAE-JULY-2024,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,6,6
MSitAE-JULY-2024,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10516,0,2339,12855,5674,569,560,3202,143,3345
MSitAE-JULY-2024,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12966,0,6462,19428,6462,780,270,3409,0,3409
MSitAE-JULY-2024,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7301,0,5450,12751,3376,1236,186,2488,0,2488
MSitAE-JULY-2024,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,6081,0,6081,0,0,0,0,0,0
MSitAE-JULY-2024,RMC,BOLTON NHS FOUNDATION TRUST,7835,0,3680,11515,3674,629,542,2242,123,2365
MSitAE-JULY-2024,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15940,0,8713,24653,6695,1487,631,2616,0,2616
MSitAE-JULY-2024,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5295,0,1998,7293,2908,296,711,1651,0,1651
MSitAE-JULY-2024,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8408,0,419,8827,2251,229,3,2238,0,2238
MSitAE-JULY-2024,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1393,0,1393,0,0,0,0,0,0
MSitAE-JULY-2024,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15532,1877,7848,25257,6837,1782,754,5231,0,5231
MSitAE-JULY-2024,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6907,0,1176,8083,2271,241,73,2056,0,2056
MSitAE-JULY-2024,RCF,AIREDALE NHS FOUNDATION TRUST,6135,306,0,6441,2461,465,112,1530,0,1530
MSitAE-JULY-2024,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16511,0,7919,24430,6091,82,4,4768,0,4768
MSitAE-JULY-2024,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4605,0,0,4605,2025,222,38,1867,0,1867
MSitAE-JULY-2024,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9302,1030,3464,13796,2186,602,97,2450,64,2514
MSitAE-JULY-2024,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5291,5291,0,0,0,0,0,0
MSitAE-JULY-2024,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,11,11
MSitAE-JULY-2024,NQT5F,SKELMERSDALE WALK IN CENTRE,0,0,1806,1806,0,0,0,0,0,0
MSitAE-JULY-2024,Y02532,MIRIAM MINOR EMERGENCY,0,0,1602,1602,0,0,0,0,0,0
MSitAE-JULY-2024,Y02428,PUTNOE WALK IN CENTRE,0,0,2802,2802,0,0,0,0,0,0
MSitAE-JULY-2024,Y00751,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1664,1664,0,0,0,0,0,0
MSitAE-JULY-2024,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6229,6229,0,0,0,0,0,0
MSitAE-JULY-2024,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4498,4498,0,0,0,0,0,0
MSitAE-JULY-2024,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,9152,0,10024,19176,4204,582,768,2578,0,2578
MSitAE-JULY-2024,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15931,0,0,15931,4726,1042,3,3108,0,3108
MSitAE-JULY-2024,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,3000,3000,0,0,0,0,0,0
MSitAE-JULY-2024,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4206,4206,0,0,0,0,0,0
MSitAE-JULY-2024,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9089,0,0,9089,2632,225,0,3029,0,3029
MSitAE-JULY-2024,NTV0W,WOKING WALK IN CENTRE,0,0,2614,2614,0,0,0,0,0,0
MSitAE-JULY-2024,NTV0B,ASHFORD WALK-IN-CENTRE,0,0,2247,2247,0,0,0,0,0,0
MSitAE-JULY-2024,NQTE4,SUMMERFIELD URGENT CARE CENTRE,0,0,3274,3274,0,0,0,0,0,0
MSitAE-JULY-2024,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3649,3649,0,0,0,0,0,0
MSitAE-JULY-2024,C83023,SLEAFORD MEDICAL GROUP,0,0,505,505,0,0,0,0,0,0
MSitAE-JULY-2024,C82038,LATHAM HOUSE MEDICAL PRACTICE,0,0,380,380,0,0,0,0,0,0
MSitAE-JULY-2024,AQN04,PHL LYMINGTON UTC,0,0,3193,3193,0,0,0,0,0,0
MSitAE-JULY-2024,ACH01,WHITSTABLE MEDICAL PRACTICE,0,0,4629,4629,0,0,0,0,0,0
MSitAE-JULY-2024,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1576,1576,0,0,0,0,1,1
MSitAE-JULY-2024,NNJ12,MARKET HARBOROUGH,0,0,87,87,0,0,0,0,0,0
MSitAE-JULY-2024,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6329,6329,0,0,0,0,0,0
MSitAE-JULY-2024,8J094,BADGER LTD,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,G0Q0L,BARKING HOSPITAL UTC,0,0,2893,2893,0,0,0,0,0,0
MSitAE-JULY-2024,K6K0R,HAROLD WOOD POLYCLINIC UTC,0,0,2921,2921,0,0,0,0,0,0
MSitAE-JULY-2024,NQT51,STATION PLAZA HEALTH CENTRE,0,0,1136,1136,0,0,0,0,0,0
MSitAE-JULY-2024,Y03218,THE PINN UNREGISTERED WIC,0,0,970,970,0,0,0,0,0,0
MSitAE-JULY-2024,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8966,8966,0,0,0,0,0,0
MSitAE-JULY-2024,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10262,1255,3659,15176,3936,329,229,4074,0,4074
MSitAE-JULY-2024,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14968,1101,8150,24219,7037,1529,818,2712,0,2712
MSitAE-JULY-2024,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11481,0,0,11481,1508,163,24,1848,0,1848
MSitAE-JULY-2024,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4997,0,0,4997,647,0,0,1005,0,1005
MSitAE-JULY-2024,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,10662,594,2249,13505,3390,539,702,2075,0,2075
MSitAE-JULY-2024,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,Y07709,READING URGENT CARE CENTRE,0,0,2223,2223,0,0,0,0,0,0
MSitAE-JULY-2024,NQT5H,PAULTON MEMORIAL HOSPITAL,0,0,1029,1029,0,0,0,0,0,0
MSitAE-JULY-2024,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1166,1166,0,0,0,0,0,0
MSitAE-JULY-2024,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,13481,0,11022,24503,4249,627,907,4178,88,4266
MSitAE-JULY-2024,RXF,MID YORKSHIRE TEACHING NHS TRUST,16592,159,6215,22966,6711,2357,344,3522,167,3689
MSitAE-JULY-2024,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9222,131,5305,14658,5130,716,561,2984,0,2984
MSitAE-JULY-2024,RJ6,CROYDON HEALTH SERVICES NHS TRUST,13230,0,4892,18122,4698,567,445,1432,0,1432
MSitAE-JULY-2024,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7844,0,1338,9182,3059,603,306,1623,0,1623
MSitAE-JULY-2024,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,NV693,ROSSENDALE MIU & OOH,0,0,1238,1238,0,0,0,0,0,0
MSitAE-JULY-2024,NNJ,DHU HEALTH CARE C.I.C,0,0,1916,1916,0,0,0,0,0,0
MSitAE-JULY-2024,L83087,OKEHAMPTON MEDICAL CENTRE,0,0,127,127,0,0,0,0,0,0
MSitAE-JULY-2024,Y02147,URGENT CARE CENTRE (QMS),0,0,7648,7648,0,0,0,0,0,0
MSitAE-JULY-2024,NNJ13,MELTON MOWBRAY,0,0,61,61,0,0,0,0,0,0
MSitAE-JULY-2024,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12099,1737,4909,18745,4706,465,37,3584,0,3584
MSitAE-JULY-2024,NNJ15,OAKHAM,0,0,67,67,0,0,0,0,0,0
MSitAE-JULY-2024,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,13840,0,4123,17963,5411,1036,236,3839,392,4231
MSitAE-JULY-2024,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8799,0,2567,11366,4269,836,126,1832,0,1832
MSitAE-JULY-2024,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,25778,0,9312,35090,11400,1749,791,6952,365,7317
MSitAE-JULY-2024,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,6856,0,1837,8693,2191,522,133,973,0,973
MSitAE-JULY-2024,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10650,809,6828,18287,4436,96,66,2370,0,2370
MSitAE-JULY-2024,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9397,1226,7165,17788,4689,1076,16,3669,0,3669
MSitAE-JULY-2024,RH5,SOMERSET NHS FOUNDATION TRUST,13431,0,10214,23645,5448,357,8,3370,0,3370
MSitAE-JULY-2024,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,15305,0,11976,27281,7198,1124,259,6243,387,6630
MSitAE-JULY-2024,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8656,0,0,8656,3172,583,5,2608,7,2615
MSitAE-JULY-2024,RBV,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2024,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7849,584,7323,15756,4280,313,788,1613,0,1613
MSitAE-JULY-2024,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,18231,0,8482,26713,6919,952,544,3961,0,3961
MSitAE-JULY-2024,R1H,BARTS HEALTH NHS TRUST,25172,1078,17776,44026,11241,1246,861,4757,0,4757
MSitAE-JULY-2024,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3623,3623,0,0,0,0,0,0
MSitAE-JULY-2024,NNF16,BRIDLINGTON HOSPITAL,0,0,1767,1767,0,0,0,0,0,0
MSitAE-JULY-2024,DT301,HERTS URGENT CARE (ASCOTS LANE),0,0,2464,2464,0,0,0,0,0,0
MSitAE-JULY-2024,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12782,0,4462,17244,5594,2052,50,4322,0,4322
MSitAE-JULY-2024,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,15769,2095,340,18204,7080,782,329,4230,0,4230
MSitAE-JULY-2024,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8151,0,7940,16091,2532,689,18,4106,0,4106
MSitAE-JULY-2024,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13166,0,12860,26026,5962,600,1085,3097,605,3702
MSitAE-JULY-2024,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19890,0,6153,26043,5427,581,42,2814,0,2814
MSitAE-JULY-2024,RVJ,NORTH BRISTOL NHS TRUST,8986,0,0,8986,2757,616,125,2479,0,2479
MSitAE-JULY-2024,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,17341,765,11634,29740,6911,1527,324,3595,0,3595
MSitAE-JULY-2024,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,21344,0,10061,31405,9283,888,993,4145,1,4146
MSitAE-JULY-2024,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0
Total,Total,Total,1399224,50788,801318,2251330,543499,92524,36806,405655,4648,410303
MSitAE-JULY-2024,AD913,BECKENHAM BEACON UCC,0,0,3777,3777,0,0,0,0,0,0
MSitAE-JULY-2024,RPA,MEDWAY NHS FOUNDATION TRUST,9054,0,6977,16031,2902,405,661,1808,0,1808
MSitAE-JULY-2024,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11938,3868,7689,23495,4784,580,130,4198,0,4198
MSitAE-JULY-2024,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1626,1626,0,0,0,0,45,45
MSitAE-JULY-2024,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11361,338,1519,13218,3150,340,640,1929,0,1929
MSitAE-JULY-2024,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,12578,149,625,13352,4915,460,17,4311,29,4340
MSitAE-JULY-2024,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12293,0,8747,21040,3569,763,118,2599,0,2599
MSitAE-JULY-2024,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11291,0,5697,16988,4559,639,148,3769,0,3769
MSitAE-JULY-2024,RJ2,LEWISHAM AND GREENWICH NHS TRUST,14381,0,10887,25268,6683,1024,522,4045,0,4045
MSitAE-JULY-2024,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,10175,800,3179,14154,4790,1544,36,3554,0,3554
MSitAE-JULY-2024,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11913,1320,0,13233,3503,198,7,3782,0,3782
MSitAE-JULY-2024,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17086,0,7411,24497,6076,660,385,7272,0,7272
MSitAE-JULY-2024,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7920,0,2631,10551,4540,611,648,2067,0,2067
MSitAE-JULY-2024,RWJ,STOCKPORT NHS FOUNDATION TRUST,8420,0,1103,9523,3579,828,260,2675,78,2753
MSitAE-JULY-2024,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9438,0,7188,16626,4975,165,10,3255,102,3357
MSitAE-JULY-2024,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,18284,0,2293,20577,3577,1088,35,5094,0,5094
MSitAE-JULY-2024,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,21025,2004,0,23029,8652,1656,895,6068,0,6068
MSitAE-JULY-2024,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,10123,0,10310,20433,6944,1011,993,4191,0,4191
MSitAE-JULY-2024,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11911,1955,2104,15970,3391,587,0,4416,14,4430
MSitAE-JULY-2024,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9996,0,12776,22772,2777,52,0,3962,39,4001
MSitAE-JULY-2024,NNJ14,OADBY,0,0,802,802,0,0,0,0,0,0
MSitAE-JULY-2024,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1182,1182,0,0,0,0,0,0
MSitAE-JULY-2024,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12612,0,0,12612,4685,445,456,2805,0,2805
MSitAE-JULY-2024,ARN03,LOCAL CARE DIRECT,0,0,1936,1936,0,0,0,0,0,0
MSitAE-JULY-2024,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,11886,11886,0,0,0,0,0,0
MSitAE-JULY-2024,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12244,0,3617,15861,4395,1058,219,3168,109,3277
MSitAE-JULY-2024,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,10715,0,2643,13358,3027,274,14,3524,0,3524
MSitAE-JULY-2024,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6856,0,3106,9962,3351,849,511,1785,0,1785
MSitAE-JULY-2024,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9464,0,4425,13889,4752,963,214,3747,0,3747
MSitAE-JULY-2024,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4789,0,11526,16315,2047,106,0,1710,534,2244
MSitAE-JULY-2024,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9254,0,3424,12678,2796,536,351,3094,16,3110
MSitAE-JULY-2024,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10039,0,0,10039,3151,619,182,2938,0,2938
MSitAE-JULY-2024,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,6017,0,3687,9704,2788,988,3,1763,0,1763
MSitAE-JULY-2024,RN7,DARTFORD AND GRAVESHAM NHS TRUST,11348,0,3690,15038,3745,816,149,2933,0,2933
MSitAE-JULY-2024,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9127,0,3435,12562,2349,541,663,2653,0,2653
MSitAE-JULY-2024,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12929,0,4287,17216,4862,745,15,4140,0,4140
MSitAE-JULY-2024,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,7428,0,1528,8956,3018,823,112,2841,309,3150
MSitAE-JULY-2024,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12493,12493,0,0,0,0,0,0
MSitAE-JULY-2024,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8444,0,5142,13586,3225,371,0,2068,0,2068
MSitAE-JULY-2024,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4330,0,273,4603,267,4,1,851,0,851
MSitAE-JULY-2024,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5111,0,1025,6136,1591,377,39,1130,0,1130
MSitAE-JULY-2024,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5165,0,0,5165,626,0,0,881,0,881
MSitAE-JULY-2024,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7078,0,8165,15243,3086,251,223,2067,160,2227
MSitAE-JULY-2024,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5459,5459,0,0,0,0,0,0
MSitAE-JULY-2024,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5272,5272,0,0,0,0,0,0
MSitAE-JULY-2024,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7444,0,9263,16707,3760,226,4,2576,170,2746
MSitAE-JULY-2024,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11554,1366,6113,19033,4850,439,3,4640,0,4640
MSitAE-JULY-2024,R1F,ISLE OF WIGHT NHS TRUST,4595,0,1502,6097,2063,246,63,1083,0,1083
MSitAE-JULY-2024,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13213,0,0,13213,3515,349,54,1442,0,1442
MSitAE-JULY-2024,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34297,377,1666,36340,13679,2891,1665,11732,0,11732
MSitAE-JULY-2024,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8469,0,1851,10320,4066,451,121,2151,0,2151
MSitAE-JULY-2024,RNZ,SALISBURY NHS FOUNDATION TRUST,4932,382,1806,7120,1902,356,6,1369,0,1369
MSitAE-JULY-2024,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9884,0,8727,18611,3377,1428,0,2109,0,2109
MSitAE-JULY-2024,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,9375,0,2102,11477,3960,745,364,2531,0,2531
MSitAE-JULY-2024,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9105,0,4423,13528,2739,2094,90,3592,0,3592
MSitAE-JULY-2024,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5525,0,5782,11307,2309,630,0,2454,0,2454
MSitAE-JULY-2024,RKE,WHITTINGTON HEALTH NHS TRUST,9387,0,0,9387,2604,241,341,1091,0,1091
MSitAE-JULY-2024,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11762,841,6231,18834,5856,102,15,1771,97,1868
MSitAE-JULY-2024,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13507,508,8531,22546,6483,974,903,5207,0,5207
MSitAE-JULY-2024,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10480,0,6358,16838,5065,568,534,2791,34,2825
MSitAE-JULY-2024,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,7823,0,733,8556,2344,440,290,2111,0,2111
MSitAE-JULY-2024,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,14267,0,4913,19180,5004,478,709,3669,71,3740
MSitAE-JULY-2024,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,8700,0,0,8700,2791,402,0,3094,0,3094
MSitAE-JULY-2024,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12880,2370,13516,28766,5125,717,633,7649,0,7649
MSitAE-JULY-2024,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,6708,0,13834,20542,3878,579,510,2287,48,2335
MSitAE-JULY-2024,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10808,399,7039,18246,6002,806,583,4493,0,4493
